咪咕央卫,#genre#
CCTV1,http://45.192.97.170:8880/play/1.m3u8
CCTV2,http://45.192.97.170:8880/play/2.m3u8
CCTV3,http://45.192.97.170:8880/play/3.m3u8
CCTV4,http://45.192.97.170:8880/play/4.m3u8
CCTV5,http://45.192.97.170:8880/play/5.m3u8
CCTV5+,http://45.192.97.170:8880/play/6.m3u8
CCTV6,http://45.192.97.170:8880/play/7.m3u8
CCTV7,http://45.192.97.170:8880/play/8.m3u8
CCTV8,http://45.192.97.170:8880/play/9.m3u8
CCTV9,http://45.192.97.170:8880/play/10.m3u8
CCTV10,http://45.192.97.170:8880/play/11.m3u8
CCTV11,http://45.192.97.170:8880/play/12.m3u8
CCTV12,http://45.192.97.170:8880/play/13.m3u8
CCTV13,http://45.192.97.170:8880/play/14.m3u8
CCTV14,http://45.192.97.170:8880/play/15.m3u8
CCTV15,http://45.192.97.170:8880/play/16.m3u8
CCTV17,http://45.192.97.170:8880/play/17.m3u8
CCTV4欧洲,http://45.192.97.170:8880/play/18.m3u8
CCTV4美洲,http://45.192.97.170:8880/play/19.m3u8
赛事最经典,http://45.192.97.170:8880/play/20.m3u8
体坛名栏汇,http://45.192.97.170:8880/play/21.m3u8
四海钓鱼,http://45.192.97.170:8880/play/22.m3u8
大湾区卫视,http://45.192.97.170:8880/play/23.m3u8
陕西体育,http://45.192.97.170:8880/play/24.m3u8
辽宁体育,http://45.192.97.170:8880/play/25.m3u8
东方卫视,http://45.192.97.170:8880/play/26.m3u8
江苏卫视,http://45.192.97.170:8880/play/27.m3u8
广东卫视,http://45.192.97.170:8880/play/28.m3u8
北京卫视,http://45.192.97.170:8880/play/29.m3u8
辽宁卫视,http://45.192.97.170:8880/play/30.m3u8
河北卫视,http://45.192.97.170:8880/play/31.m3u8
江西卫视,http://45.192.97.170:8880/play/32.m3u8
陕西卫视,http://45.192.97.170:8880/play/33.m3u8
湖北卫视,http://45.192.97.170:8880/play/34.m3u8
农林卫视,http://45.192.97.170:8880/play/35.m3u8
兵团卫视,http://45.192.97.170:8880/play/36.m3u8
上海新闻综合,http://45.192.97.170:8880/play/37.m3u8
上视东方影视,http://45.192.97.170:8880/play/38.m3u8
公共新闻频道,http://45.192.97.170:8880/play/39.m3u8
盐城新闻综合,http://45.192.97.170:8880/play/40.m3u8
江阴新闻综合,http://45.192.97.170:8880/play/41.m3u8
南通新闻综合,http://45.192.97.170:8880/play/42.m3u8
宜兴新闻综合,http://45.192.97.170:8880/play/43.m3u8
溧水新闻综合,http://45.192.97.170:8880/play/44.m3u8
陕西银龄频道,http://45.192.97.170:8880/play/45.m3u8
陕西都市青春频道,http://45.192.97.170:8880/play/46.m3u8
陕西秦腔频道,http://45.192.97.170:8880/play/47.m3u8
陕西新闻资讯频道,http://45.192.97.170:8880/play/48.m3u8
财富天下,http://45.192.97.170:8880/play/49.m3u8
辽宁公共频道,http://45.192.97.170:8880/play/50.m3u8
辽宁生活频道,http://45.192.97.170:8880/play/51.m3u8
辽宁影视剧频道,http://45.192.97.170:8880/play/52.m3u8
宁夏文旅频道,http://45.192.97.170:8880/play/53.m3u8
宁夏经济频道,http://45.192.97.170:8880/play/54.m3u8
经典香港电影,http://45.192.97.170:8880/play/55.m3u8
抗战经典影片,http://45.192.97.170:8880/play/56.m3u8
新片放映厅,http://45.192.97.170:8880/play/57.m3u8
CHC影迷电影,http://45.192.97.170:8880/play/58.m3u8
CHC动作电影,http://45.192.97.170:8880/play/59.m3u8
CHC家庭影院,http://45.192.97.170:8880/play/60.m3u8
和美乡途轮播台,http://45.192.97.170:8880/play/61.m3u8
最强综艺趴,http://45.192.97.170:8880/play/62.m3u8

酒店源集,#genre#
CCTV1,http://45.192.97.170:8880/play/209.m3u8
CCTV1,http://45.192.97.170:8880/play/210.m3u8
CCTV1,http://45.192.97.170:8880/play/211.m3u8
CCTV1,http://45.192.97.170:8880/play/212.m3u8
CCTV2,http://45.192.97.170:8880/play/213.m3u8
CCTV2,http://45.192.97.170:8880/play/214.m3u8
CCTV2,http://45.192.97.170:8880/play/215.m3u8
CCTV2,http://45.192.97.170:8880/play/216.m3u8
CCTV3,http://45.192.97.170:8880/play/217.m3u8
CCTV3,http://45.192.97.170:8880/play/218.m3u8
CCTV3,http://45.192.97.170:8880/play/219.m3u8
CCTV3,http://45.192.97.170:8880/play/220.m3u8
CCTV3,http://45.192.97.170:8880/play/221.m3u8
CCTV3,http://45.192.97.170:8880/play/222.m3u8
CCTV3,http://45.192.97.170:8880/play/223.m3u8
CCTV4,http://45.192.97.170:8880/play/224.m3u8
CCTV4,http://45.192.97.170:8880/play/225.m3u8
CCTV4,http://45.192.97.170:8880/play/226.m3u8
CCTV4,http://45.192.97.170:8880/play/227.m3u8
CCTV4,http://45.192.97.170:8880/play/228.m3u8
CCTV4,http://45.192.97.170:8880/play/229.m3u8
CCTV4,http://45.192.97.170:8880/play/230.m3u8
CCTV5,http://45.192.97.170:8880/play/231.m3u8
CCTV5,http://45.192.97.170:8880/play/232.m3u8
CCTV5,http://45.192.97.170:8880/play/233.m3u8
CCTV5,http://45.192.97.170:8880/play/234.m3u8
CCTV5,http://45.192.97.170:8880/play/235.m3u8
CCTV5,http://45.192.97.170:8880/play/236.m3u8
CCTV5+,http://45.192.97.170:8880/play/237.m3u8
CCTV5+,http://45.192.97.170:8880/play/238.m3u8
CCTV5+,http://45.192.97.170:8880/play/239.m3u8
CCTV5+,http://45.192.97.170:8880/play/240.m3u8
CCTV5+,http://45.192.97.170:8880/play/241.m3u8
CCTV5+,http://45.192.97.170:8880/play/242.m3u8
CCTV6,http://45.192.97.170:8880/play/243.m3u8
CCTV6,http://45.192.97.170:8880/play/244.m3u8
CCTV6,http://45.192.97.170:8880/play/245.m3u8
CCTV6,http://45.192.97.170:8880/play/246.m3u8
CCTV6,http://45.192.97.170:8880/play/247.m3u8
CCTV6,http://45.192.97.170:8880/play/248.m3u8
CCTV6,http://45.192.97.170:8880/play/249.m3u8
CCTV7,http://45.192.97.170:8880/play/250.m3u8
CCTV7,http://45.192.97.170:8880/play/251.m3u8
CCTV7,http://45.192.97.170:8880/play/252.m3u8
CCTV7,http://45.192.97.170:8880/play/253.m3u8
CCTV7,http://45.192.97.170:8880/play/254.m3u8
CCTV7,http://45.192.97.170:8880/play/255.m3u8
CCTV7,http://45.192.97.170:8880/play/256.m3u8
CCTV8,http://45.192.97.170:8880/play/257.m3u8
CCTV8,http://45.192.97.170:8880/play/258.m3u8
CCTV8,http://45.192.97.170:8880/play/259.m3u8
CCTV8,http://45.192.97.170:8880/play/260.m3u8
CCTV8,http://45.192.97.170:8880/play/261.m3u8
CCTV8,http://45.192.97.170:8880/play/262.m3u8
CCTV9,http://45.192.97.170:8880/play/263.m3u8
CCTV9,http://45.192.97.170:8880/play/264.m3u8
CCTV9,http://45.192.97.170:8880/play/265.m3u8
CCTV9,http://45.192.97.170:8880/play/266.m3u8
CCTV9,http://45.192.97.170:8880/play/267.m3u8
CCTV9,http://45.192.97.170:8880/play/268.m3u8
CCTV9,http://45.192.97.170:8880/play/269.m3u8
CCTV10,http://45.192.97.170:8880/play/270.m3u8
CCTV10,http://45.192.97.170:8880/play/271.m3u8
CCTV10,http://45.192.97.170:8880/play/272.m3u8
CCTV10,http://45.192.97.170:8880/play/273.m3u8
CCTV10,http://45.192.97.170:8880/play/274.m3u8
CCTV10,http://45.192.97.170:8880/play/275.m3u8
CCTV11,http://45.192.97.170:8880/play/276.m3u8
CCTV11,http://45.192.97.170:8880/play/277.m3u8
CCTV11,http://45.192.97.170:8880/play/278.m3u8
CCTV11,http://45.192.97.170:8880/play/279.m3u8
CCTV11,http://45.192.97.170:8880/play/280.m3u8
CCTV12,http://45.192.97.170:8880/play/281.m3u8
CCTV12,http://45.192.97.170:8880/play/282.m3u8
CCTV12,http://45.192.97.170:8880/play/283.m3u8
CCTV12,http://45.192.97.170:8880/play/284.m3u8
CCTV12,http://45.192.97.170:8880/play/285.m3u8
CCTV12,http://45.192.97.170:8880/play/286.m3u8
CCTV12,http://45.192.97.170:8880/play/287.m3u8
CCTV13,http://45.192.97.170:8880/play/288.m3u8
CCTV13,http://45.192.97.170:8880/play/289.m3u8
CCTV13,http://45.192.97.170:8880/play/290.m3u8
CCTV13,http://45.192.97.170:8880/play/291.m3u8
CCTV13,http://45.192.97.170:8880/play/292.m3u8
